ID Partner;Nama Partner;Rating;Jumlah Pengguna;Kontak;Gender
1;Maharani;4.5;1200;contact@partnermail.com;Male
2;Nur Manda;4.7;800;support@partnerb.com;Female
3;Aprintan;4.8;650;hello@partnerc.com;Male
4;Daffa;4.6;500;info@partnerd.com;Female
5;Elinda;4.9;300;contact@partnere.com;Male
6;Luluk;4.3;900;contact@partnerf.com;Female
7;Zevanya;4.4;700;support@partnerg.com;Male
8;Fatikah;4.6;750;hello@partnerh.com;Female
9;Zaqia;4.5;600;info@partneri.com;Male
10;Adi Rudi;4.7;450;contact@partnerj.com;Female
11;Jeje Limani;4.8;1000;contact@partnerk.com;Male
12;Edward;4.9;850;support@partnerl.com;Female
13;Kalifah;4.6;700;hello@partnerm.com;Male
14;Andreas ;4.4;550;info@partnern.com;Female
15;Lukman;4.7;350;contact@partnero.com;Male
16;Coki Pardede;4.6;950;contact@partnerp.com;Female
17;Martasari;4.5;800;support@partnerq.com;Male
18;Rizqi;4.6;700;hello@partnerr.com;Female
19;Arhan;4.3;600;info@partners.com;Male
20;Jefri Nichol;4.8;500;contact@partnert.com;Female
